match_id,event,date,map_name,team,opponent,team_comp,opponent_comp,won
666491,VCT 2026: Pacific Stage 1,2026-05-08,Pearl,T1,FULL SENSE,"Astra,Killjoy,Neon,Sova,Tejo","Astra,Fade,Jett,Phoenix,Vyse",False
666491,VCT 2026: Pacific Stage 1,2026-05-08,Pearl,FULL SENSE,T1,"Astra,Fade,Jett,Phoenix,Vyse","Astra,Killjoy,Neon,Sova,Tejo",True
666491,VCT 2026: Pacific Stage 1,2026-05-08,Lotus,T1,FULL SENSE,"Fade,Killjoy,Neon,Omen,Viper","Jett,Omen,Raze,Skye,Vyse",False
666491,VCT 2026: Pacific Stage 1,2026-05-08,Lotus,FULL SENSE,T1,"Jett,Omen,Raze,Skye,Vyse","Fade,Killjoy,Neon,Omen,Viper",True
666494,VCT 2026: Pacific Stage 1,2026-05-09,Ascent,Rex Regum Qeon,DetonatioN FocusMe,"Chamber,Jett,Omen,Sova,Vyse","Cypher,Jett,Neon,Omen,Sova",False
666494,VCT 2026: Pacific Stage 1,2026-05-09,Ascent,DetonatioN FocusMe,Rex Regum Qeon,"Cypher,Jett,Neon,Omen,Sova","Chamber,Jett,Omen,Sova,Vyse",True
666494,VCT 2026: Pacific Stage 1,2026-05-09,Breeze,Rex Regum Qeon,DetonatioN FocusMe,"Harbor,Kayo,Neon,Sova,Viper","Jett,Neon,Omen,Sova,Viper",True
666494,VCT 2026: Pacific Stage 1,2026-05-09,Breeze,DetonatioN FocusMe,Rex Regum Qeon,"Jett,Neon,Omen,Sova,Viper","Harbor,Kayo,Neon,Sova,Viper",False
666494,VCT 2026: Pacific Stage 1,2026-05-09,Lotus,Rex Regum Qeon,DetonatioN FocusMe,"Chamber,Fade,Neon,Omen,Viper","Fade,Neon,Omen,Raze,Vyse",True
666494,VCT 2026: Pacific Stage 1,2026-05-09,Lotus,DetonatioN FocusMe,Rex Regum Qeon,"Fade,Neon,Omen,Raze,Vyse","Chamber,Fade,Neon,Omen,Viper",False
